2026-01-28 15:00:11 [DEBUG] macro_scraper: Logger initialised. Log file: /Users/maxkyrylyuk/Desktop/macro_te_scraper/logs/run_20260128_150011.log
2026-01-28 15:00:28 [DEBUG] macro_scraper: unemployment row cells: ['Unemployment Rate', '5.1', '5.1', '11.9', '3.4', 'percent', 'Nov/25']
2026-01-28 15:00:30 [DEBUG] macro_scraper: inflation_mom row cells: ['Inflation Rate MoM', '0.4', '-0.2', '3.5', '-1', 'percent', 'Dec/25']
2026-01-28 15:00:32 [DEBUG] macro_scraper: interest_rate row cells: ['Interest Rate', '3.75', '4', '17', '0.1', 'percent', 'Dec/25']
2026-01-28 15:00:35 [DEBUG] macro_scraper: retail_sales_mom row cells: ['Retail Sales MoM', '0.4', '-0.1', '13.5', '-17.9', 'percent', 'Dec/25']
2026-01-28 15:00:37 [DEBUG] macro_scraper: services_pmi row cells: ['Services PMI', '54.3', '51.4', '62.9', '13.4', 'points', 'Jan/26']
2026-01-28 15:00:39 [DEBUG] macro_scraper: manufacturing_pmi row cells: ['Manufacturing PMI', '51.6', '50.6', '65.6', '32.6', 'points', 'Jan/26']
2026-01-28 15:00:42 [DEBUG] macro_scraper: ppi row cells: ['Producer Price Inflation MoM', '0', '0.1', '2.8', '-2.1', 'percent', 'Dec/25']
2026-01-28 15:00:44 [DEBUG] macro_scraper: gdp_growth_qoq row cells: ['GDP Growth Rate', '0.1', '0.2', '17', '-19.9', 'percent', 'Sep/25']
2026-01-28 15:00:49 [DEBUG] macro_scraper: unemployment row cells: ['Unemployment Rate', '6.8', '6.5', '14.2', '2.9', 'percent', 'Dec/25']
2026-01-28 15:00:52 [DEBUG] macro_scraper: inflation_mom row cells: ['Inflation Rate MoM', '-0.2', '0.1', '2.6', '-1.3', 'percent', 'Dec/25']
2026-01-28 15:00:54 [DEBUG] macro_scraper: interest_rate row cells: ['Interest Rate', '2.25', '2.25', '16', '0.25', 'percent', 'Jan/26']
2026-01-28 15:00:57 [DEBUG] macro_scraper: retail_sales_mom row cells: ['Retail Sales MoM', '-0.5', '1.3', '22.2', '-23', 'percent', 'Dec/25']
2026-01-28 15:00:59 [DEBUG] macro_scraper: services_pmi row cells: ['Services PMI', '46.5', '44.3', '56.1', '41.2', 'points', 'Dec/25']
2026-01-28 15:01:01 [DEBUG] macro_scraper: manufacturing_pmi row cells: ['Manufacturing PMI', '48.6', '48.4', '58.9', '33', 'points', 'Dec/25']
2026-01-28 15:01:04 [DEBUG] macro_scraper: ppi row cells: ['Producer Price Inflation MoM', '-0.6', '1.1', '3.8', '-2.9', 'percent', 'Dec/25']
